,spp.num,alpha.code,name,spp,order
1,10,WEGR,Western Grebe,Aechmophorus occidentalis,96
2,11,CLGR,Clark's Grebe,Aechmophorus clarkii,98
3,12,WCGR,Western/Clark's Grebe,hybrid,97
4,20,RNGR,Red-necked Grebe,Podiceps grisegena,94
5,30,HOGR,Horned Grebe,Podiceps auritus,93
6,40,EAGR,Eared Grebe,Podiceps nigricollis,95
7,50,LEGR,Least Grebe,Tachybaptus dominicus,91
8,60,PBGR,Pied-billed Grebe,Podilymbus podiceps,92
9,70,COLO,Common Loon,Gavia immer,89
10,80,YBLO,Yellow-billed Loon,Gavia adamsii,90
11,90,ARLO,Arctic Loon,Gavia arctica,87
12,100,PALO,Pacific Loon,Gavia pacifica,88
13,110,RTLO,Red-throated Loon,Gavia stellata,86
14,120,TUPU,Tufted Puffin,Fratercula cirrhata,389
15,130,ATPU,Atlantic Puffin,Fratercula arctica,387
16,140,HOPU,Horned Puffin,Fratercula corniculata,388
17,150,RHAU,Rhinoceros Auklet,Cerorhinca monocerata,386
18,160,CAAU,Cassin's Auklet,Ptychoramphus aleuticus,381
19,170,PAAU,Parakeet Auklet,Aethia psittacula,382
20,180,CRAU,Crested Auklet,Aethia cristatella,385
21,190,WHAU,Whiskered Auklet,Aethia pygmaea,384
22,200,LEAU,Least Auklet,Aethia pusilla,383
23,210,ANMU,Ancient Murrelet,Synthliboramphus antiquus,380
24,230,MAMU,Marbled Murrelet,Brachyramphus marmoratus,374
25,231,LBMU,Long-billed Murrelet,Brachyramphus perdix,372
26,232,AMMU,Alaska Marbled Murrelet,Brachyramphus marmoratus,373
27,240,KIMU,Kittlitz's Murrelet,Brachyramphus brevirostris,375
28,250,XAMU,Xantus's Murrelet,hybrid,376
29,251,SCMU,Scripps's Murrelet,Synthliboramphus scrippsi,377
30,252,GUMU,Guadalupe Murrelet,Synthliboramphus hypoleucus,378
31,260,CRMU,Craveri's Murrelet,Synthliboramphus craveri,379
32,270,BLGU,Black Guillemot,Cepphus grylle,370
33,290,PIGU,Pigeon Guillemot,Cepphus columba,371
34,300,COMU,Common Murre,Uria aalge,367
35,310,TBMU,Thick-billed Murre,Uria lomvia,368
36,320,RAZO,Razorbill,Alca torda,369
37,340,DOVE,Dovekie,Alle alle,366
38,350,GRSK,Great Skua,Stercorarius skua,359
39,352,SPSK,South Polar Skua,Stercorarius maccormicki,360
40,360,POJA,Pomarine Jaeger,Stercorarius pomarinus,363
41,370,PAJA,Parasitic Jaeger,Stercorarius parasiticus,364
42,380,LTJA,Long-tailed Jaeger,Stercorarius longicaudus,365
43,390,IVGU,Ivory Gull,Pagophila eburnea,392
46,391,MAGU,Magellan Gull,Leucophaeus scoresbii,398
47,400,BLKI,Black-legged Kittiwake,Rissa tridactyla,390
48,410,RLKI,Red-legged Kittiwake,Rissa brevirostris,391
49,420,GLGU,Glaucous Gull,Larus hyperboreus,414
50,430,ICGU,Iceland Gull,Larus glaucoides,410
51,431,THGU,Thayer's Gull,Larus thayeri,409
52,440,GWGU,Glaucous-winged Gull,Larus glaucescens,413
53,446,HYGU,Hybrid Gull,hybrid,417
54,470,GBBG,Great Black-backed Gull,Larus marinus,415
55,480,SBGU,Slaty-backed Gull,Larus schistisagus,412
56,490,WEGU,Western Gull,Larus occidentalis,405
57,491,YFGU,Yellow-footed Gull,Larus livens,406
58,500,LBBG,Lesser Black-backed Gull,Larus fuscus,411
59,510,HERG,Herring Gull,Larus argentatus,408
60,530,CAGU,California Gull,Larus californicus,407
61,534,UNGU,Unidentified Gull,hybrid,418
62,540,RBGU,Ring-billed Gull,Larus delawarensis,404
63,542,BTGU,Band-tailed Gull,Larus belcheri,401
64,550,MEGU,Mew Gull,Larus canus,403
65,551,BHGU,Black-headed Gull,Chroicocephalus ridibundus,395
66,570,HEEG,Heermann's Gull,Larus heermanni,402
67,580,LAGU,Laughing Gull,Leucophaeus atricilla,399
68,590,FRGU,Franklin's Gull,Leucophaeus pipixcan,400
69,600,BOGU,Bonaparte's Gull,Chroicocephalus philadelphia,394
70,601,LIGU,Little Gull,Hydrocoloeus minutus,396
71,610,ROGU,Ross's Gull,Rhodostethia rosea,397
73,620,SAGU,Sabine's Gull,Xema sabini,393
74,630,GBTE,Gull-billed Tern,Gelochelidon nilotica,431
75,640,CATE,Caspian Tern,Hydroprogne caspia,432
76,650,ROYT,Royal Tern,Thalasseus maximus,444
77,652,CRTE,Crested Tern,Thalasseus bergii,445
78,660,ELTE,Elegant Tern,Thalasseus elegans,448
79,670,SATE,Sandwich Tern,Thalasseus sandvicensis,446
80,671,CAYT,Cayenne Tern,Thalasseus sandvicensis eurygnatha,447
81,690,FOTE,Forster's Tern,Sterna forsteri,443
82,700,COTE,Common Tern,Sterna hirundo,439
83,706,HYTE,Hybrid Tern,hybrid,449
