DATE,Point Name,Observer,Start,TempF,Wind,Sky,Noise,Species Code,Distance Band,Total Count,min 1,min 2,min 3,min 4,min 5,min 6,min 7,min 8,min 9,min 10,After
9/14/2016,Church_y15_3,TRF,10:51,75,1,0,1,BLGR,0-10 m,2,1,0,0,0,0,0,1,0,0,0,0
9/14/2016,Church_y15_3,TRF,10:51,75,1,0,1,INBU,0-10 m,1,1,0,0,0,0,0,0,0,0,0,0
9/14/2016,Church_y15_3,TRF,10:51,75,1,0,1,COYE,0-10 m,1,1,0,0,0,0,0,0,0,0,0,0
9/14/2016,Church_y15_3,TRF,10:51,75,1,0,1,BRTH,0-10 m,1,0,1,0,0,0,0,0,0,0,0,0
9/14/2016,Church_y15_3,TRF,10:51,75,1,0,1,HOWR,0-10 m,1,0,0,1,0,0,0,0,0,0,0,0
9/14/2016,Church_y15_3,TRF,10:51,75,1,0,1,FISP,25-50 m,1,0,0,1,0,0,0,0,0,0,0,0
9/14/2016,Church_y15_3,TRF,10:51,75,1,0,1,GRCA,11-25 m,1,0,0,0,1,0,0,0,0,0,0,0
9/14/2016,Church_y15_3,TRF,10:51,75,1,0,1,GRCA,25-50 m,1,0,0,0,1,0,0,0,0,0,0,0
9/14/2016,Church_y15_3,TRF,10:51,75,1,0,1,WBNU,>50 m,2,0,0,0,2,0,0,0,0,0,0,0
9/14/2016,Church_y15_3,TRF,10:51,75,1,0,1,BLJA,>50 m,2,0,0,0,2,0,0,0,0,0,0,0
9/14/2016,Church_y15_3,TRF,10:51,75,1,0,1,WEVI,>50 m,1,0,0,0,1,0,0,0,0,0,0,0
9/14/2016,Church_y15_3,TRF,10:51,75,1,0,1,CACH,>50 m,1,0,0,0,0,1,0,0,0,0,0,0
9/14/2016,Church_y15_3,TRF,10:51,75,1,0,1,AMGO,FO,2,0,0,2,0,0,0,0,0,0,0,0
9/14/2016,Church_y15_3,TRF,10:51,75,1,0,1,TUVU,FO,2,0,0,0,0,1,0,0,1,0,0,0
9/14/2016,Church_y15_3,TRF,10:51,75,1,0,1,TRES,FO,1,0,0,0,0,1,0,0,0,0,0,0
9/14/2016,Church_y15_3,TRF,10:51,75,1,0,1,AMCR,11-25 m,1,0,0,0,0,0,1,0,0,0,0,0
9/14/2016,Church_y15_3,TRF,10:51,75,1,0,1,AMCR,25-50 m,1,0,0,0,0,0,1,0,0,0,0,0
9/14/2016,Church_y15_3,TRF,10:51,75,1,0,1,AMCR,>50 m,2,0,0,0,0,0,2,0,0,0,0,0
9/14/2016,Church_y15_3,TRF,10:51,75,1,0,1,FISP,11-25 m,1,0,0,0,0,0,1,0,0,0,0,0
9/14/2016,Church_y15_3,TRF,10:51,75,1,0,1,GRCA,0-10 m,1,0,0,0,0,0,1,0,0,0,0,0
9/14/2016,Church_y15_3,TRF,10:51,75,1,0,1,REVI,25-50 m,1,0,0,0,0,0,1,0,0,0,0,0
9/14/2016,Church_y15_3,TRF,10:51,75,1,0,1,HOFI,FO,1,0,0,0,0,0,0,1,0,0,0,0
9/14/2016,Church_y15_3,TRF,10:51,75,1,0,1,GRCA,>50 m,1,0,0,0,0,0,0,1,0,0,0,0
9/15/2016,Triangle_y7_2,TRF,6:55,66,3,1,1,CAWR,>50 m,1,1,0,0,0,0,0,0,0,0,0,0
9/15/2016,Triangle_y7_2,TRF,6:55,66,3,1,1,AMCR,>50 m,2,0,0,2,0,0,0,0,0,0,0,0
9/15/2016,Triangle_y7_2,TRF,6:55,66,3,1,1,COYE,0-10 m,2,0,0,0,1,0,0,0,0,1,0,0
9/15/2016,Triangle_y7_2,TRF,6:55,66,3,1,1,UNWA,FO,2,0,0,0,0,2,0,0,0,0,0,0
9/15/2016,Triangle_y7_2,TRF,6:55,66,3,1,1,REVI,25-50 m,1,0,0,0,0,0,1,0,0,0,0,0
9/15/2016,Triangle_y7_2,TRF,6:55,66,3,1,1,BLJA,>50 m,1,0,0,0,0,0,1,0,0,0,0,0
9/15/2016,Triangle_y7_2,TRF,6:55,66,3,1,1,HOWR,11-25 m,1,0,0,0,0,0,0,1,0,0,0,0
9/15/2016,Triangle_y7_2,TRF,6:55,66,3,1,1,TUTI,25-50 m,3,0,0,0,0,0,0,2,0,1,0,0
9/15/2016,Triangle_y7_2,TRF,6:55,66,3,1,1,GRCA,0-10 m,1,0,0,0,0,0,0,0,1,0,0,0
9/15/2016,Triangle_y7_2,TRF,6:55,66,3,1,1,NOCA,25-50 m,1,0,0,0,0,0,0,0,1,0,0,0
9/15/2016,Triangle_y7_2,TRF,6:55,66,3,1,1,WOTH,>50 m,1,0,0,0,0,0,0,0,0,0,1,0
9/15/2016,Triangle_y7_2,TRF,6:55,66,3,1,1,PHVI,25-50 m,0,0,0,0,0,0,0,0,0,0,0,1
9/15/2016,Triangle_y7_1,TRF,7:13,66,2,1,1,GRCA,11-25 m,1,1,0,0,0,0,0,0,0,0,0,0
9/15/2016,Triangle_y7_1,TRF,7:13,66,2,1,1,EATO,25-50 m,1,0,1,0,0,0,0,0,0,0,0,0
9/15/2016,Triangle_y7_1,TRF,7:13,66,2,1,1,EAWP,>50 m,1,0,0,1,0,0,0,0,0,0,0,0
9/15/2016,Triangle_y7_1,TRF,7:13,66,2,1,1,BLJA,>50 m,1,0,0,1,0,0,0,0,0,0,0,0
9/15/2016,Triangle_y7_1,TRF,7:13,66,2,1,1,BOBO,FO,3,0,0,1,0,0,0,2,0,0,0,0
9/15/2016,Triangle_y7_1,TRF,7:13,66,2,1,1,GRCA,25-50 m,1,0,0,0,1,0,0,0,0,0,0,0
9/15/2016,Triangle_y7_1,TRF,7:13,66,2,1,1,WEVI,11-25 m,1,0,0,0,0,1,0,0,0,0,0,0
9/15/2016,Triangle_y7_1,TRF,7:13,66,2,1,1,UNWA,25-50 m,1,0,0,0,0,1,0,0,0,0,0,0
9/15/2016,Triangle_y7_1,TRF,7:13,66,2,1,1,COYE,11-25 m,1,0,0,0,0,1,0,0,0,0,0,0
9/15/2016,Triangle_y7_1,TRF,7:13,66,2,1,1,COYE,0-10 m,1,0,0,0,0,0,1,0,0,0,0,0
9/15/2016,Triangle_y7_1,TRF,7:13,66,2,1,1,AMCR,FO,3,0,0,0,0,0,3,0,0,0,0,0
9/15/2016,Triangle_y7_1,TRF,7:13,66,2,1,1,GRCA,0-10 m,1,0,0,0,0,0,0,1,0,0,0,0
9/15/2016,Triangle_y7_1,TRF,7:13,66,2,1,1,NOMO,25-50 m,1,0,0,0,0,0,0,0,1,0,0,0
9/15/2016,Triangle_y7_1,TRF,7:13,66,2,1,1,RBWO,>50 m,1,0,0,0,0,0,0,0,0,0,1,0
